log10..NII..Ha. log10.EW.Ha.. WHAN_Class
-0.01991  0.03503  4.00000
-0.48366  1.64619  1.00000
-0.49190  1.65285  1.00000
-0.42813  1.58289  1.00000
-0.36521  0.43185  4.00000
-0.39057  1.08736  2.00000
-0.27781  1.44243  2.00000
-0.29843  0.72916  3.00000
-0.51462  1.50548  1.00000
-0.36675  1.25176  2.00000
-0.52214  1.54997  1.00000
-0.35788  1.49711  2.00000
-0.49803  1.56381  1.00000
-0.50252  1.84129  1.00000
-0.12179 -0.22330  4.00000
-0.40938  1.79977  1.00000
-0.37017  1.21922  2.00000
-0.36519  1.55251  2.00000
-0.39313  1.38996  2.00000
-0.51077  1.60802  1.00000
-0.48517  1.69827  1.00000
-0.31904  1.11939  2.00000
-0.53473  1.71908  1.00000
-0.28572  1.28160  2.00000
-0.40719  1.58763  1.00000
-0.24703  0.75610  3.00000
-0.32066  1.37658  2.00000
 0.00000  0.00000  0.00000
-0.47298  1.72182  1.00000
-0.56134  1.89068  1.00000
-0.31445  0.97109  2.00000
